Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Bytom Odrzański,R,"2 247
93
54","
-
-
-","-
-
-","głogowski,
nowosolski"
2,Gaworzyce,R,"
54 389
1 283
1 926","-
-
-","-
-
-","głogowski,
polkowicki"
3,Głogów,R,"
tylko pzb.",-,-,"głogowski,
polkowicki"
4,"Głogów Głęboki-
Przemysłowy",E,"291 333
6 992
22 917","266 674
6 404
20 755","361
6
26","głogowski,
polkowicki"
5,Lubin-Małomice,"
E","390 183
5 137
21 492","334 459
4 279
18 159","7 192
67
341","lubiński,
polkowicki"
6,Polkowice,"
E","112 524
2 630
5 314","94 111
2 146
4 215","3 134
57
120","lubiński,
polkowicki"
7,"
Radwanice-Wschód",T,"6 477
130
182","6 477
130
182","-
-
-",polkowicki
8,Radwanice-Zachód,R,"18 575
465
795","-
-
-","-
-
-",polkowicki
9,"
Retków",R,"137 288
2 151
11 031","-
-
-","-
-
-","głogowski,
lubiński,
polkowicki"
11,Sieroszowice,E,"289 172
7 564
17 778","248 391
6 464
15 567","9 293
169
353",".
głogowski,
polkowicki"
1,Niecka Grodziecka,Z,"10 291
141
501","-
-
-","-
-
-","bolesławiecki,
złotoryjski"
2,Nowy Kościół,Z,"13 478
116
583","-
-
-","
-
-
-","jaworski,
złotoryjski"
3,Wartowice,R,"79 316
1 165
4 260","
-
-
-","-
-
-",bolesławiecki
