Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Bukowa Góra,E,95 981,95 981,531,lubański
2,Diablak,R,1 662,-,-,złotoryjski
3,Gozdanin,Z,112,"
-",-,zgorzelecki
4,Góra Borowa,R,430,-,-,zgorzelecki
5,Góra Kamienista,E,1 705,1 705,429,lwówecki
6,Góra Trupień,E,1 654,1 548,167,jaworski
7,Grabiszyce Dolne,R,424,"
-",-,lubański
8,Gronowskie Wzgórza,E,10 682,9 042,325,zgorzelecki
9,Gronów,R,"
20 041",12 224,-,zgorzelecki
10,Janowiczki,M,-,-,54,strzeliński
11,Jawor-Męcinka,E,115 463,98 727,378,jaworski
12,Józef,Z,"
1 745",-,-,lubański
13,Kłopotno,E,1 539,954,319,lwówecki
14,Kłopotno I -Pole 548.1,R,2 616,-,-,lwówecki
15,Kosiska-Janowice,R,tylko pzb.,-,-,"jaworski, legnicki"
16,Kostrza Góra,R,1 245,-,-,"legnicki, złotoryjski"
17,Kozia Góra,"
E",1 433,1 433,231,złotoryjski
18,Krzeniów,E,12 890,12 890,1 179,złotoryjski
19,Księginki,Z,4 134,-,-,lubański
20,Księginki I,"
T",8 196,8 196,-,lubański
21,Księginki-Północ,E,18 795,15 137,164,lubański
22,Lądek-Orłowice,Z,113,-,-,kłodzki
23,Leśna-Brzozy,E,2 382,5 452,530,lubański
24,Liściasta Góra,R,18 780,15 895,-,lubański
25,"
Lubień",E,6 834,6 381,739,legnicki
26,Lutynia,E,2 055,2 055,46,kłodzki
27,Męcinka I,E,8 441,8 441,109,jaworski
28,Mikołajowice,T,2 871,2 330,-,legnicki
29,Miłoszów,Z,4 779,-,-,lubański
30,Mszana-Obłoga,R,67 822,-,-,jaworski
31,"
Owczarek",R,2 700,-,-,jaworski
32,Paszowice,R,8 500,-,-,jaworski
33,Prusice Górne,Z,467,-,-,złotoryjski
35,Radzimów,Z,292,-,-,zgorzelecki
36,Rębiszów,M,-,-,20,".
lwówecki"
37,Sichów,P,11 193,-,-,jaworski
38,Sulików,E,45 610,47 056,1 642,zgorzelecki
39,Targowica,E,30 248,13 007,"
257","strzeliński, ząbkowicki"
40,Targowica-Wschód,R,16 516,-,-,ząbkowicki
41,Tylice,Z,1 738,-,-,zgorzelecki
42,Uniegoszcz (zarej.),Z,20,-,-,lubański
43,Wilcza Góra,E,2 348,2 348,166,złotoryjski
44,Winna Góra,E,13 860,13 860,"
427",jaworski
45,Wojciechów,T,2 618,2 618,-,lwówecki
46,Wojtek (Markocice),R,188,-,-,zgorzelecki
1,Ameryka,R,2 454,-,-,opolski
2,Gracze,E,5 546,"
5 220",461,opolski
3,Ligota Tułowicka,E,4 202,2 027,126,opolski
4,Rutki,E,10 418,5 389,325,opolski
1,Braszowice3,E,"
95 451",95 451,1 254,ząbkowicki
2,Dębówka3,T,184 300,56 965,-,kłodzki
3,Sady I2,R,17 867,-,-,jaworski
4,Słupiec-Dębówka3,E,179 920,82 617,1 382,kłodzki
5,Ścinawka Dolna3,P,"
1 064",-,-,kłodzki
6,Ząbkowice Śląskie3,R,28 132,-,-,ząbkowicki
1,Niedźwiedzia Góra2,E,5 531,5 531,247,krakowski
1,Barcz I4,E,4 138,4 138,17,świdnicki
2,Borów4,E,138 035,57 748,232,świdnicki
3,Borów 174,"
E",32 868,32 868,135,świdnicki
4,Borów I - kam.494,E,14 649,6 008,41,świdnicki
5,Borów I - kam.49 A4,E,5 652,4 156,71,świdnicki
6,Borów-Południe4,E,8 137,4 332,29,świdnicki
7,"
Brodziszów I5",R,10 827,-,-,ząbkowicki
8,Brodziszów II5,R,1 281,-,-,ząbkowicki
9,Brodziszów-Kłośnik5,T,24 635,84,-,ząbkowicki
10,Chwalisław5,P,40 990,-,-,ząbkowicki
11,Chwałków I4,E,21 118,18 789,227,świdnicki
12,Czarne4,R,832,-,-,m.Jelenia Góra
13,"
Czernica4",E,14 727,14 727,43,świdnicki
14,Czernica-Wieś4,E,15 999,4 448,51,świdnicki
15,Czerwony Potok4,Z,310,-,-,jeleniogórski
17,Gniewków4,E,60 319,37 576,462,świdnicki
18,Gniewków I4,R,20 898,-,-,".
świdnicki"
19,Goczałków4,T,19 675,10 729,-,świdnicki
20,Gola Świdnicka4,E,15 359,23 410,205,świdnicki
21,Gołaszyce4,E,4 328,4 328,"
319",świdnicki
22,Górka4,E,68 030,46 622,838,strzeliński
23,"Grabina Śląska-Kam.
15/274",E,21 508,21 508,146,świdnicki
24,Graniczna4,E,87 207,86 454,445,świdnicki
25,Graniczna II4,E,6 084,6 084,"
98",świdnicki
26,Graniczna III4,E,4 779,1 099,18,świdnicki
27,Karpniki-StruŜnica4,P,78 228,-,-,jeleniogórski
28,Kluczowa4,R,2 902,-,-,ząbkowicki
29,Kostrza4,E,4 800,3 938,66,świdnicki
30,Kostrza - Piekiełko4,E,17 027,"
17 027",16,świdnicki
31,Kostrza Jerzy-Wschód4,R,2 645,-,-,świdnicki
32,Kostrza-Jerzy4,T,745,140,-,świdnicki
33,Kostrza-Lubicz4,E,8 402,"
3 034",18,świdnicki
34,Kostrza-Wanda4,E,8 373,8 373,42,świdnicki
35,Kośmin6,E,"
36 592",18 060,287,dzierŜoniowski
36,Koziniec5,R,5 778,-,-,ząbkowicki
37,Kudowa-Chologierki4,Z,257,-,-,kłodzki
38,ŁaŜany5,Z,12 544,-,-,świdnicki
39,ŁaŜany II5,E,"
12 842",12 842,281,świdnicki
40,Michałowice4,Z,10 987,-,-,jeleniogórski
41,Mikoszów4,E,-,-,-,strzeliński
42,Mikoszów - Wieś4,E,841,841,2,strzeliński
43,Morawa4,Z,40 136,16 129,-,świdnicki
44,Morawa-Wschód4,"
R",14 088,-,-,świdnicki
45,Morów II4,E,27 799,19 270,161,świdnicki
46,Mrowiny4,R,10 966,-,-,świdnicki
47,Mrowiny I4,"
R",40 715,-,-,świdnicki
48,Mrowiny II4,R,25 252,-,-,świdnicki
49,Mrowiny III4,R,39 602,-,-,świdnicki
50,Pagórki Wschodnie4,E,2 402,2 128,39,wrocławski
51,"
Pagórki Zachodnie4",E,12 746,12 122,37,"świdnicki, wrocławski"
52,Piekielnik6,R,13 370,-,-,dzierŜoniowski
53,Piława Górna (zarej.) 6,Z,238,-,-,dzierŜoniowski
54,Pokutnik4,E,17 459,17 459,29,jaworski
55,PoŜarzysko-Łom W4,E,8 947,26,0,świdnicki
56,Przedborowa6,E,3 660,3 660,31,ząbkowicki
57,"
Przerzeczyn Zdrój6",Z,320,-,-,dzierŜoniowski
58,Rogoźnica4,E,105 739,8 416,815,świdnicki
59,Rogoźnica-Las4,E,9 408,5 140,5,świdnicki
61,Rogoźnica-Północ4,T,44 228,-,-,świdnicki
62,Rogówka5,P,30 405,-,-,".
kłodzki"
63,Siedlimowice4,Z,4 384,-,-,świdnicki
64,Siedlimowice I4,E,14 023,14 023,973,świdnicki
65,Strzeblów I4,E,19 598,19 598,"
484","świdnicki,
wrocławski"
66,Strzeblów II4,E,60 157,60 157,65,wrocławski
67,Strzegom4,R,22 871,-,-,świdnicki
68,Strzegom II4,R,10 084,-,-,świdnicki
69,"Strzegom Kamieniołom
25/264",E,32 904,32 638,"
103",świdnicki
