Lp.,Nazwa,Stan,Zas. wyd. bil. Razem,Zas. wyd. bil. A+B,Zas. wyd. bil. C,Wydobycie
1,"
Bogdaj - Uciechów",E,13.19,13.19,-,0.37
2,Czeszów,E,0.98,0.98,-,0.01
3,Dębina,R,0.29,0.29,-,-
4,Góra,E,0.42,0.42,-,0.07
5,Grabówka E,E,0.09,0.09,-,0.01
6,"
Grochowice",E,3.25,3.25,-,0.12
7,Kandlewo,R,0.47,0.11,0.36,-
8,Kulów,R,0.05,0.05,-,-
9,Naratów,E,0.27,0.27,-,0.05
10,Niechlów,E,0.28,0.28,-,0.03
11,Pakosław,R,1.0,1.0,"
-",-
12,Ślubów,E,0.05,0.05,-,0.02
13,"Tarchały (d,g,+cz,s,)",E,4.64,4.64,"
-",0.04
14,Wilcze - czerwony spąg.,R,1.27,1.27,-,-
15,Wilków,E,1.9,1.9,-,0.18
16,Wysocko Małe E,E,0.18,0.18,-,0.01
