Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Rędziny,E,12 436.15,12 436.15,216.63,kamiennogórski
1,elatowa,E,"
23 092.44",8 085.06,471.60,chrzanowski
1,"Bobrowniki-
Blachówka","
Z",10 853.00,-,-,tarnogórski
2,Brudzowice,E,90 827.79,33 340.00,1 343.35,będziński
3,Chruszczobród,R,64 550.00,-,-,zawierciański
4,Chruszczobród 2,R,27 985.81,21 289.37,-,zawierciański
5,"
Chruszczobród I",R,17 443.70,-,-,zawierciański
6,Gadlin,R,982.00,-,-,m.Jaworzno
7,Gródek,Z,23 033.50,-,-,m.Jaworzno
8,Jaworzno-CięŜkowice,P,30 697.00,-,-,m.Jaworzno
9,"Ząbkowice
Będzińskie I",E,15 067.24,6 838.60,886.98,"m.Dąbrowa
Górnicza"
10,"
Ząbkowice
Będzińskie II",P,19 773.00,-,-,"m.Dąbrowa
Górnicza"
