Lp.,Nazwa,Stan,Zasoby geologiczne bilansowe Razem,Zasoby geologiczne bilansowe A+B+C1,Zasoby wydobywalne bilansowe C2+D,Zasoby przemyslowe,Wydobycie
91,Rymer,Z,120 868,31 705,89 163,-,-
92,Saturn,Z,61 074,28 651,32 423,-,-
93,Siemianowice,Z,44 765,35 918,8 847,-,-
94,Siemianowice-Szopienice I,Z,36 465,36 405,60,-,-
95,Siersza,Z,226 804,207 127,19 677,-,-
96,Silesia,E,503 253,324 640,178 613,127 004,55
97,Silesia-Dankowice-Jawiszo.,R,198 668,111 169,87 499,-,-
98,Sosnowiec,Z,33 970,31 735,2 235,-,-
99,Sośnica,E,406 061,302 032,104 029,113 388,1 586
101,Staszic,E,632 931,545 025,87 906,118 208,1 984
102,Studzienice,R,1 282 150,16 883,1 265 267,"
-",-
103,Studzionka-Mizerów,P,180 000,0,180 000,-,-
104,Sumina,P,300 000,0,300 000,-,-
105,Szczygłowice,E,634 451,398 778,"
235 673",122 457,1 839
106,Śląsk,E,150 518,127 865,22 653,25 776,1 082
107,Śląsk-Pole Panewnickie,E,114 422,109 659,4 763,11 668,7
108,Tenczynek,P,64 543,0,64 543,-,-
109,Warszowice-Pawłowice Płn.,R,162 961,78 193,84 768,-,-
110,Wesoła,E,745 492,626 682,"
118 810",86 244,2 155
111,Wieczorek,E,120 857,114 879,5 978,30 965,1 359
112,Wisła I i Wisła II-1,R,550 557,175 378,375 179,-,-
113,Wisła I-Wisła II,P,822 766,0,822 766,-,-
114,Wisła-Północ,P,303 969,0,303 969,-,-
115,Wojkowice,Z,19 430,"
15 713",3 717,-,-
116,Wujek,E,112 789,88 420,24 369,11 157,341
117,Wujek-część południowa,R,253 428,142 464,110 964,-,-
118,Wujek-część Stara Ligota,E,95 254,"
84 148",11 106,45 155,824
119,Za rowem bełckim,P,342 502,0,342 502,-,-
120,Zabrze-Bielszowice,E,"
524 440",486 893,37 547,273 559,1 673
121,Zator,P,347 145,0,347 145,-,-
122,Zebrzydowice,P,108 439,0,108 439,-,-
123,Ziemowit,E,920 924,533 720,387 204,108 315,3 804
124,Zofiówka,E,"
393 358",306 711,86 647,99 399,1 992
125,Żory,Z,153 256,60 348,92 908,-,-
126,Żory-Suszec,R,2 100 212,66 226,2 033 986,-,-
127,Żory-Warszowice,R,151 916,147 684,4 232,-,-
1,Bogdanka,E,805 848,674 654,131 194,320 493,4 926
2,Chełm II,P,1 034 514,0,1 034 514,-,-
3,Kolechowice Nowe,P,2 257 374,0,2 257 374,-,-
4,Lublin K-3,R,76 301,43 208,33 093,-,-
5,Lublin K-4-5,P,453 016,0,453 016,-,-
6,Lublin K-6-7,R,386 390,376 216,10 174,-,-
7,Lublin K-8,R,250 262,213 463,36 799,-,-
8,Lublin K-9,R,237 586,155 160,82 426,-,-
9,Orzechów (d. Łęczna),P,1 827 942,0,1 827 942,-,-
10,Ostrów,R,853 479,571 140,282 339,-,-
11,Sawin,P,1 083 685,0,1 083 685,-,-
