Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby wydobywalne pozabilansowe,Zasoby przemyslowe,Emisja z wentylacja,Wydobycie
1,Borynia,E,528.78,-,98.32,17.53,6.60
2,Brzeszcze,E,2 845.10,-,995.80,85.40,27.40
3,Budryk,E,5 338.77,-,253.91,24.42,13.18
4,Bzie-Dębina 2 - Zachód,R,"
336.26",-,-,-,-
5,Chudów – Paniowy 1,E,33.05,-,4.08,8.92,0.23
6,Chwałowice,E,312.64,-,-,7.72,4.15
7,Dębieńsko 1,R,5 794.00,-,604.00,-,-
8,Halemba,E,421.53,-,54.51,3.87,2.92
9,Halemba II,E,213.87,-,90.71,4.49,1.33
10,Jankowice,E,201.60,-,63.31,8.64,7.17
11,Jas-Mos,E,19.98,-,19.00,11.37,9.12
12,Knurów,P,71.60,-,-,-,-
13,Krupiński,E,1 101.49,-,94.15,26.13,42.12
14,Łaziska,P,776.00,-,-,-,-
15,Marcel,E,109.98,-,24.72,4.09,3.79
16,Moszczenica,E,27.91,-,11.83,-,6.56
17,Murcki,P,3 769.68,-,-,1.09,-
18,Pniówek,E,1 632.20,-,308.07,76.03,49.11
19,Rydułtowy,E,308.50,-,80.76,8.85,6.93
20,Silesia,E,1 134.90,-,88.39,1.36,12.44
21,Sośnica,E,1 594.00,-,478.20,33.95,6.08
22,Staszic,E,874.26,-,45.90,"
30.60",7.84
23,Szczygłowice,E,1 661.80,-,131.30,21.40,7.32
24,Wesoła,E,1 924.52,-,109.40,31.84,8.60
25,Wieczorek,E,74.22,214.07,"
-",20.95,-
26,Wujek-część Stara Ligota,P,17.27,-,-,-,-
27,Zabrze-Bielszowice,E,1 538.79,-,338.12,30.71,6.51
28,Ziemowit,P,898.50,-,-,-,-
29,Zofiówka,E,725.98,-,424.26,30.14,15.37
1,Anna-Pole Południowe,R,29.42,"
-",-,-,-
2,Barbara-Chorzów,R,28.18,-,-,-,-
3,Brzezinka-2,P,588.02,663.26,-,-,-
4,Bzie-Dębina,P,5 371.30,-,-,-,-
5,Bzie-Dębina 1,R,916.90,"
-",-,-,-
6,Bzie-Dębina 1 - Zachód,R,1 191.90,-,-,-,-
7,Ćwiklice,P,2 675.70,"
-",-,-,-
8,Lędziny,R,739.70,-,-,-,-
9,Marcel-Ruch 1 Maja,Z,27.42,-,-,-,-
10,Mikołów,R,"
221.37",-,-,-,-
11,Morcinek,Z,376.73,-,-,-,-
12,Pawłowice 1,R,3 257.19,-,-,-,-
13,Silesia-Dankowice-Jawiszo.,R,282.00,1 598.40,-,-,-
14,Studzienice,P,466.20,4 467.20,-,-,-
15,Warszowice-Pawłowice Płn.,P,3 820.64,-,-,-,-
16,Żory,R,1 319.54,-,-,-,-
1,Halemba II,R,1 216.00,-,-,-,-
2,Kaczyce I,E,45.91,-,13.00,-,0.03
3,Lędziny,R,12 444.80,3 191.50,-,-,-
4,Murcki (głębokie),P,6 568.50,6 306.50,-,-,-
5,Paniowy-Mikołów-Panewniki,P,7 589.00,-,-,-,-
6,Silesia Głęboka,T,2 791.15,467.73,1 169.54,-,-
7,Zebrzydowice,P,1 424.75,-,-,-,-
8,Żory 1,B,146.98,-,100.24,-,-
