Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Albertów,Z,1 961,-,-,ząbkowicki
2,Bartek,Z,-,-,-,jeleniogórski
3,"
Bądzów",R,421,-,-,głogowski
4,Bądzów - zarej.,Z,-,-,-,głogowski
5,Bolków I,E,86,62,3,jaworski
6,Byczeń,Z,1 213,-,-,ząbkowicki
7,Chocianów,Z,274,-,-,polkowicki
8,Chwalimierz,T,154,-,-,średzki
9,"
Chwalimierz II",E,2 770,1 665,49,średzki
10,Czerna,R,1 006,-,-,bolesławiecki
11,Dębno,Z,4,-,-,trzebnicki
13,Górna Wrończa,T,168,89,-,górowski
14,Górna Wrończa II,E,53,-,1,".
górowski"
15,Grabowno I,Z,369,-,-,oleśnicki
16,Grodzanów,Z,227,-,-,wołowski
17,Grodzanów (p.),E,90,-,"
2",wołowski
18,Gryfów Śląski,Z,26,-,-,lwówecki
19,Jadwiga Kunice II,M,-,-,-,legnicki
20,Jaśkowice Legnickie,Z,578,-,-,legnicki
21,Jelenia Góra (Ceg.),Z,81,-,-,m.Jelenia Góra
22,Jerzmanki,R,1 207,"
-",-,zgorzelecki
23,Kamienna,Z,257,-,-,zgorzelecki
24,Kamienna Góra,Z,105,-,-,kamiennogórski
25,Kąty Wrocławskie,R,581,-,-,wrocławski
26,Kąty Wrocławskie I,E,6 756,1 607,149,wrocławski
27,Kościelnik I,Z,6,"
-",-,lubański
28,Kościelnik II,E,4,2,0,lubański
29,Kościelnik III,Z,4,-,-,lubański
30,Kotla,E,"
540",-,3,głogowski
31,Krzeszów I,Z,34,-,-,kamiennogórski
32,Kunice I,T,"
294",294,-,legnicki
33,Kunice I - wschód,T,5 979,2 122,-,legnicki
34,Kunice III,E,10 635,7 398,33,legnicki
35,Legnica-p. Wschodnie,P,727 650,-,-,legnicki
36,Leszczyna Kłodzka,E,"
1 033",248,12,kłodzki
37,Mieroszów,Z,37,-,-,wałbrzyski
38,Miękinia,E,3 060,1 174,1,średzki
39,Milików,R,180,-,-,bolesławiecki
40,Olszyna Lubańska,Z,504,-,-,lubański
41,Ołdrzychów,"
E",335,335,1,bolesławiecki
42,Pawice,R,588,-,-,m.Legnica
43,Pęgów,Z,306,-,-,trzebnicki
44,"
Pogolewo DuŜe",Z,240,-,-,wołowski
45,Pogolewo Małe,Z,681,-,-,wołowski
46,Pogolewo Małe II,E,194,-,3,wołowski
47,Prochowice,Z,1 080,-,-,legnicki
48,"
Proszówka",R,100,-,-,lwówecki
49,Przedmoście,Z,647,-,-,średzki
50,Radostów Dolny,R,1 415,-,-,lubański
51,Ruszowice,Z,358,-,-,głogowski
52,Ruszowice II,E,155,-,-,głogowski
53,Rychlinek,Z,390,-,-,zgorzelecki
54,"
Słowiany",E,3 254,3 159,2,lubański
55,Słupiec,Z,87,-,-,kłodzki
56,Sośnica,E,4 629,493,3,wrocławski
58,Stanisz,R,47,-,-,m.Jelenia Góra
59,Stawiec,Z,217,-,-,".
milicki"
60,Strzelin,Z,2 369,-,-,strzeliński
61,Ścinawka Dolna,Z,460,-,-,kłodzki
62,Ścinawka Średnia,Z,1 759,-,"
-",kłodzki
63,Trzebnica,Z,173,-,-,trzebnicki
64,Twardogóra,Z,99,-,-,oleśnicki
65,Wierzchowice,Z,1 045,-,-,milicki
66,Wilków Wielki,Z,88,-,-,dzierŜoniowski
67,Wolanów,R,427,"
-",-,zgorzelecki
68,Zachowice,Z,594,-,-,wrocławski
69,Zduny-Cieszków,Z,186,-,-,milicki
70,Złotniki,Z,548,-,-,legnicki
71,Złoty Stok,R,820,-,-,ząbkowicki
72,erniki,Z,2 247,"
-",-,m.Wrocław
73,erniki-Bisek,R,148,-,-,m.Wrocław
1,Białe Błota,Z,119,-,-,aleksandrowski
2,Chrusty,R,"
30",-,-,aleksandrowski
3,Chrząstowo,Z,376,-,-,inowrocławski
4,Elgiszewo,R,858,-,-,golubsko-dobrzyński
5,Elgiszewo XVI,R,1 483,-,-,golubsko-dobrzyński
6,Fordon,E,"
245",216,12,m.Bydgoszcz
7,Józefowo,R,102,-,-,mogileński
8,Kcynia III,Z,60,-,-,nakielski
9,Kozłowo IV,R,188,188,-,świecki
10,Lubicz,Z,640,-,-,toruński
11,Papowo,"
Z",771,-,-,toruński
12,Pikutkowo-Smólsk,P,10 448,-,-,włocławski
13,Przechowo,E,284,284,3,świecki
14,"
Rudak I",E,1 954,1 954,15,m.Toruń
15,Rudak I-Poligon,Z,393,-,-,m.Toruń
16,Rumaki,Z,1 367,-,-,włocławski
17,Stopka I,T,1 362,691,-,bydgoski
18,"
Stopka II",E,614,614,23,bydgoski
19,Świerkocin,Z,2 074,-,-,grudziądzki
20,Toporzysko,R,5 662,-,-,toruński
21,Wapno k/Brodnicy,Z,100,-,-,brodnicki
1,"
Antoniówka",Z,31,-,-,tomaszowski
2,Baranów I,R,238,-,-,puławski
3,Baranów II,R,1 293,-,-,puławski
5,Biskupie,E,59,59,1,lubelski
6,Boby,Z,27,-,-,".
kraśnicki"
7,Bojanówka I,E,45,-,1,kraśnicki
8,Bojanówka SW,T,77,-,-,kraśnicki
9,Bojanówka-Dół Kamienny,E,33,-,"
3",kraśnicki
10,Bojanówka-II,E,104,-,0,kraśnicki
11,Bojanówka-Kamienny Dół II,R,88,88,-,kraśnicki
12,Bojanówka-Zachód,T,30,-,-,kraśnicki
13,Borów dz.3651,Z,-,-,-,kraśnicki
14,Borów I,E,13,"
-",2,kraśnicki
15,Budy,Z,922,-,-,tomaszowski
16,Budy 1,R,89,-,-,tomaszowski
17,Bukowa Wielka,R,617,-,-,chełmski
18,Bukowa Wielka -1,R,169,-,-,chełmski
