Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby wydobywalne pozabilansowe,Zasoby przemyslowe,Emisja z wentylacja,Wydobycie
1,Borynia,E,533.38,-,102.72,-,1.99
2,Brzeszcze,E,2 990.40,-,1 046.60,80.60,35.90
3,Budryk,E,5 349.46,"
-",267.09,27.82,13.80
4,Bzie-Dębina 2 - Zachód,R,205.00,-,-,-,-
5,Chudów – Paniowy 1,R,36.95,-,-,-,-
6,Chwałowice,E,316.49,"
-",-,9.42,3.78
7,Halemba,E,425.92,-,57.43,4.58,1.54
8,Halemba II,E,215.21,-,92.04,1.50,2.85
9,Jankowice,E,"
202.09",-,58.63,15.12,3.66
10,Jas-Mos,E,18.76,-,15.43,10.88∗∗),2.25
11,Knurów,P,71.60,-,-,-,-
12,Krupiński,E,1 158.91,-,128.90,29.95,51.67
13,Łaziska,P,776.00,-,-,-,-
14,Marcel,"
E",108.97,-,30.24,5.34,4.00
15,Moszczenica,E,34.47,-,18.39,**),7.59
16,Murcki,P,3 843.87,-,-,-,-
17,Pniówek,"
E",1 641.87,-,349.27,73.44,43.86
"18
19","Rydułtowy
Silesia","E
E","301.39
1 148.70","-
-","111.35
61.40","10.34
21.07","6.29
1.41"
20,Sośnica,E,1 577.83,-,473.35,34.85,8.19
21,"
Staszic",E,823.33,-,53.74,26.96,3.83
22,Szczygłowice,E,1 746.19,-,136.20,19.87,7.71
23,Wesoła,E,1 892.96,-,118.00,34.74,10.58
24,Wieczorek,E,113.22,214.07,-,19.51,-
25,Zabrze-Bielszowice,E,1 564.87,-,343.86,20.54,6.96
26,Ziemowit,P,898.50,-,-,-,-
27,"
Zofiówka",E,725.12,-,439.63,34.96,14.53
1,Anna-Pole Południowe,R,29.42,-,"
-",-,-
2,Barbara-Chorzów,R,28.18,-,-,-,-
3,Brzezinka-2,P,588.02,663.26,-,-,-
4,Bzie-Dębina,P,5 371.30,-,-,-,-
5,Bzie-Dębina 1,R,916.90,-,-,-,-
6,Bzie-Dębina 1 - Zachód,R,1 191.90,-,"
-",-,-
7,Ćwiklice,P,2 675.70,-,-,-,-
8,Dębieńsko 1,R,5 794.00,-,604.00,-,-
9,Lędziny,R,739.70,-,-,-,-
10,Marcel-Ruch 1 Maja,Z,27.42,"
-",-,-,-
11,Mikołów,R,221.37,-,-,-,-
12,Morcinek,Z,425.94,-,-,-,-
13,Pawłowice 1,R,3 257.19,-,-,-,-
14,Silesia-Dankowice-Jawiszo.,R,282.00,"
1 598.40",-,-,-
15,Studzienice,P,466.20,4 467.20,-,-,-
16,Warszowice-Pawłowice Płn.,P,4 987.69,"
-",-,-,-
1,Halemba II,R,1 216.00,-,-,-,-
2,Kaczyce I,E,45.94,-,13.03,-,0.04
3,Lędziny,R,12 444.80,3 191.50,-,-,-
4,Murcki (głębokie),"
P",6 568.50,6 306.50,-,-,-
5,Paniowy-Mikołów-Panewniki,P,7 589.00,-,-,-,-
6,Silesia Głęboka,T,2 791.15,467.73,1 169.54,-,-
7,Zebrzydowice,"
P",1 424.75,-,-,-,-
8,ory,R,2 027.80,-,-,-,-
9,ory 1,P,156.29,-,-,-,-
