Lp.,Nazwa,Stan,Zasoby geologiczne bilansowe Razem,Zasoby geologiczne bilansowe A+B+C1,Zasoby wydobywalne bilansowe C2+D,Zasoby przemyslowe,Wydobycie
1,Nowa Ruda (p.Słupiec),Z,"
tylko pzb.",-,-,-,-
2,Nowa Ruda (rej.Lech),Z,tylko pzb.,-,-,-,-
3,Nowa Ruda (rej.Wacław),Z,tylko pzb.,-,-,-,-
4,Wałbrzych-Gaj,Z,"
tylko pzb.",-,-,-,-
5,ZG Chrobry,Z,tylko pzb.,-,-,-,-
6,ZG Julia,Z,tylko pzb.,-,-,-,-
7,ZG Victoria,Z,tylko pzb.,-,-,-,-
1,Andaluzja,Z,tylko pzb.,-,-,-,-
2,Anna,E,31 117,19 165,11 952,7 528,1 146
3,Anna-Pole Południowe,R,290 879,80 151,210 728,-,-
4,Barbara-Chorzów,"
Z",56 814,4 019,52 795,-,-
5,Bobrek-Miechowice,Z,tylko pzb.,-,-,-,-
6,Bobrek-Miechowice 1,R,38 464,38 464,-,-,-
7,Bolesław Śmiały,Z,tylko pzb.,-,-,-,-
8,"
Borynia",E,322 441,188 181,134 260,61 289,2 171
9,Brzeszcze,E,314 483,196 344,118 139,113 424,1 482
10,Brzezinka,R,131 381,123 594,7 787,-,-
11,Brzezinka - 2,R,413 235,356 305,56 930,-,-
12,Brzeziny,E,32 660,32 660,-,27 329,650
13,Budryk,E,847 547,263 893,583 654,49 264,2 123
14,"
Byczyna",E,85 555,70 012,15 543,30 866,615
15,Bytom I,Z,tylko pzb.,-,-,-,-
17,Bytom II,Z,tylko pzb.,-,-,-,-
18,Bytom II-1,E,21 841,12 390,9 451,"
8 469",704
19,Bytom III,E,81 055,81 055,-,35 273,1 374
20,Bzie-Dębina,R,106 262,37 589,68 673,-,-
21,Bzie-Dębina 1,R,393 039,291 940,"
101 099",-,-
22,Bzie-Dębina 1 - Zachód,R,358 086,280 714,77 372,-,-
23,Bzie-Dębina 2 - Zachód,B,257 293,192 034,65 259,51 838,2
24,Centrum,E,215 885,179 154,36 731,96 099,762
25,Centrum-Szombierki,Z,tylko pzb.,-,-,-,-
26,Chudów - Paniowy 1,E,10 337,7 869,"
2 468",1 221,594
27,Chwałowice,E,651 338,326 847,324 491,223 794,2 111
28,Czeczott,Z,535 950,478 524,57 426,-,-
29,Czeczott-pole zachód,Z,24 916,23 209,1 707,-,-
30,Czeczott-Wschód,R,434 914,332 884,102 030,-,-
31,Ćwiklice,R,624 298,"
239 262",385 036,-,-
32,Dębieńsko,Z,tylko pzb.,-,-,-,-
33,Dębieńsko 1,R,813 288,332 316,480 972,171 582,-
34,Dziećkowice,T,28 043,"
10 716",17 327,2 635,-
35,Gliwice,Z,tylko pzb.,-,-,-,-
36,Gołkowice,R,"
77 078",25 887,51 191,-,-
37,Grodziec,Z,tylko pzb.,-,-,-,-
38,Halemba,E,372 285,351 456,20 829,214 477,1 602
39,Halemba II,E,160 430,136 613,23 817,89 392,73
40,Jadwiga 2,E,"
9 145",9 145,-,6 289,185
41,Jan Kanty,Z,tylko pzb.,-,-,-,-
42,Janina,E,1 452 287,557 749,894 538,367 538,2 333
43,Jankowice,E,624 255,500 889,123 366,89 493,2 853
44,Jas-Mos,"
E",224 078,187 379,36 699,64 545,1 588
45,Jaworzno,E,906 174,605 457,300 717,149 139,1 590
46,Jejkowice,P,309 502,-,309 502,-,-
47,Jowisz,Z,8 522,816,7 706,-,-
48,Julian,"
Z",tylko pzb.,-,-,-,-
49,Katowice,Z,tylko pzb.,-,-,-,-
50,Kazimierz-Juliusz,E,126 532,114 067,12 465,8 960,506
51,Kleofas,Z,tylko pzb.,-,-,-,-
52,"
Knurów",E,631 048,377 215,253 833,105 914,2 268
53,Kobiór-Pszczyna,P,3 063 506,-,3 063 506,-,-
54,Krupiński,E,174 278,111 260,63 018,35 490,2 195
55,Lędziny,R,140 586,65 721,74 865,-,-
56,LibiąŜ III,R,4 442,4 442,-,-,-
57,LibiąŜ-Dąb,R,11 371,2 570,8 801,-,-
58,"
LibiąŜ-Janina",R,12 865,6 252,6 613,-,-
59,Łaziska,E,199 354,93 034,106 320,45 845,1 561
60,Makoszowy,E,467 448,234 742,232 706,116 343,1 488
62,Marcel-Ruch 1 Maja,Z,tylko pzb.,-,-,-,-
63,Międzyrzecze,P,403 864,-,403 864,"
-",-
64,Mikołów,R,294 070,172 266,121 804,-,-
65,Modrzejów,R,46 505,26 796,19 709,-,-
66,Morcinek,Z,tylko pzb.,-,"
-",-,-
67,Moszczenica,Z,tylko pzb.,-,-,-,-
68,Murcki,E,517 064,403 116,113 948,103 781,1 635
69,Mysłowice,E,37 885,37 341,544,19 318,535
70,Niwka-Modrzejów,Z,tylko pzb.,-,-,-,-
71,Oświęcim-Polanka,R,2 086 237,5 207,"
2 081 030",-,-
72,Paruszowiec,R,348 020,160 572,187 448,-,-
73,ParyŜ,Z,tylko pzb.,-,-,-,-
74,Pawłowice - rej.,R,414 263,241 763,172 500,-,-
75,Pawłowice 1,R,304 300,282 626,21 674,-,-
76,Piast,E,967 965,"
935 990",31 975,207 242,4 221
77,Piekary,E,45 167,45 116,51,6 360,165
78,Pilchowice,P,150 900,-,150 900,-,-
79,Pniówek,E,273 450,"
186 248",87 202,61 177,2 643
80,Pokój,E,142 771,141 740,1 031,34 396,1 222
81,Polska-Wirek,Z,"
153 516",141 941,11 575,-,-
