Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Andrzej (śarów),Z,tylko pzb.,-,-,świdnicki
2,Antoni (Kalno),R,19 904,"
-",-,świdnicki
3,Dunino,E,478,382,1,legnicki
4,Gola,R,1 324,-,-,świdnicki
5,Julia (Dzierzków-Roztoka),P,6 900,-,-,świdnicki
6,Kazimierz (Godziszówek-T.),P,"
36 755",-,-,świdnicki
7,Maria I (Czerna),Z,9 203,-,-,bolesławiecki
8,Maria III,E,80 303,72 340,237,bolesławiecki
9,Michał (Dzierzków-Roztoka),P,20 980,-,-,świdnicki
10,Monika,P,"
2 968",-,-,strzeliński
11,Stefan (Bolesławice),P,3 641,-,-,świdnicki
12,Śmiałowice,R,"
12 234",-,-,świdnicki
13,Zofia (Czerwona Woda),R,14 456,-,-,zgorzelecki
14,arów,R,4 298,-,-,świdnicki
