Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,"
Podgrodzie",T,315 574,276 125,-,bolesławiecki
2,Podgrodzie Dolne,R,78 237,-,-,bolesławiecki
1,"Barcin-Piechcin-
Pakość",E,988 857,558 203,5 168,"inowrocławski,
mogileński, Ŝniński"
1,Bezek,P,865 715,-,-,chełmski
3,Chełm I,R,159 167,-,-,chełmski
4,Frampol II,P,97 095,-,-,".
biłgorajski"
5,Nikodemówka,P,91 900,-,-,chełmski
6,Pokrówka,P,267 890,-,-,chełmski
7,Popów,P,63 830,-,"
-","kraśnicki, opolski"
8,Potok,P,166 816,-,-,janowski
9,Rejowiec,E,38 640,4 245,201,chełmski
10,Rejowiec I,R,41 354,-,-,chełmski
11,Trawniki,R,200 832,-,"
-","krasnostawski,
świdnicki"
12,urawce,P,1 242 804,-,-,tomaszowski
1,"Działoszyn-
Trębaczew",E,188 879,"
28 558",2 196,pajęczański
2,Goślub,R,456 118,-,-,łęczycki
3,Granice,R,80 861,-,-,radomszczański
4,Granice 1,R,18 391,"
-",-,radomszczański
5,Kodrąb,R,1 599,-,-,radomszczański
6,Kodrąb-Dmenin,P,253 472,-,-,radomszczański
7,Kule,P,92 869,"
-",-,pajęczański
8,Mariampol-Stok,P,209 423,-,-,opoczyński
9,Mariampol-Stok I,R,80 954,-,-,opoczyński
10,Niwiska G..-Grądy,E,"
31 900",9 207,1 029,pajęczański
11,"Pajęczno-
Makowiska I",R,160 729,-,-,pajęczański
12,Sulejów I,R,182 655,-,-,piotrkowski
13,Wielka Wieś,R,92 761,-,-,łaski
14,Wieluń,R,"
56 937",-,-,wieluński
1,Grzmiączka,"
R",11 510,-,-,chrzanowski
2,Wolbrom-Zarzecze,P,249 590,-,-,olkuski
1,Bałtów-Tarnówek,R,469 004,-,-,lipski
2,"
IłŜa-KrzyŜanowice",R,396 632,-,-,radomski
3,"Kol. Wierzbica –
Pole B",R,167 239,-,-,radomski
4,Marylin,Z,5 394,-,-,radomski
5,Strzałków,R,166 615,-,-,radomski
6,Wierzbica-Pole A,E,293 042,75 165,11,radomski
1,Dobrzeń,R,13 800,-,-,opolski
3,"Groszowice II -
Wróblin",R,27 269,-,-,".
m. Opole"
4,Odra II,E,55 566,15 403,601,m. Opole
5,Opole-Folwark,E,437 059,285 648,1 774,opolski
6,Strzelce Opolskie,E,170 466,165 763,"
387",strzelecki
7,Strzelce Opolskie I,T,8 634,8 180,-,strzelecki
8,"Tarnów Opolski-
Wschód",R,23 607,-,-,"krapkowicki,
strzelecki"
1,Płazów,R,228 295,-,-,lubaczowski
1,Cisownica,P,1 685,-,-,cieszyński
2,Góra Siewierska,R,23 100,"
-",-,będziński
3,Kamyce,R,27 000,-,-,będziński
4,Latosówka-Rudn. II,E,77 239,30 245,540,częstochowski
5,Mstów,R,363 326,"
-",-,częstochowski
6,Niegowonice,M,-,-,-,zawierciański
7,Niegowonice II,R,158 608,-,-,zawierciański
8,Rogoźnik,Z,14 350,"
-",-,będziński
9,Rudniki-Jaskrów,E,69 175,10 589,24,częstochowski
10,Sadowa Góra II,R,21 931,-,-,m. Jaworzno
11,Wiek II,R,"
39 546",39 546,-,zawierciański
12,ychcice II - Saturn,M,-,-,-,będziński
1,Bratkowszczyzna,P,285 808,-,-,opatowski
2,Brzozowa,R,"
117 822",-,-,opatowski
3,Bukowa,E,31 965,13 727,98,włoszczowski
4,Celiny,T,60 684,-,-,kielecki
5,Cieśle,"
P",47 114,-,-,jędrzejowski
6,Dębska Wola,R,31 866,-,-,kielecki
7,Gliniany-Duranów,E,733 710,71 064,3 534,opatowski
8,Gliniany-StróŜa,R,28 380,-,-,opatowski
9,Kowala,E,136 717,85 786,1 650,kielecki
10,"
Leśnica-Małogoszcz",E,253 504,253 504,1 726,jędrzejowski
11,Nida-Lurowizna,R,231 194,-,-,kielecki
12,Ptasznik,Z,1 602,-,-,kielecki
13,Suchowola-Kam. G.,R,185 567,-,-,kielecki
1,"
Czarnogłowy-Kłęby",P,154 731,-,-,kamieński
2,Czarnogłów,R,13 291,-,-,goleniowski
1,"Duszniki-Zdrój
(Kozicowa H.)",R,1 126,-,"
-",kłodzki
2,Gołogłowy,R,263,-,-,kłodzki
3,Lutynia,R,86,-,-,kłodzki
4,Niwnice,R,801,-,-,lwówecki
5,Pilchowice,Z,1 313,"
-",-,lwówecki
6,Połom,E,15 495,15 495,283,złotoryjski
7,Raciborowice,R,627,-,-,bolesławiecki
8,Rochowice Nowe,Z,393,-,-,jaworski
9,Silesia,Z,1 423,"
-",-,złotoryjski
10,Sobocin,T,3 886,2 892,-,jaworski
11,Wojcieszów-Gruszka,Z,122,"
-",-,złotoryjski
12,Wojcieszów-Miłek,Z,8 562,-,-,złotoryjski
1,Dyle Kąty,Z,978,-,-,biłgorajski
2,Kamień,Z,509,-,-,lubelski
3,Kłodnica Górna,T,17,-,-,lubelski
4,Leszczany,R,753,-,-,chełmski
5,Wilkołaz II,R,"
905",-,-,kraśnicki
6,Zakącie,T,622,-,-,lubelski
1,Bobrowniki,"
P",15 767,-,-,pajęczański
2,Kodrąb-Dmenin,P,484 549,-,-,radomszczański
3,"Ktery I,II",R,tylko pzb.,-,-,kutnowski
4,Majaczewice,Z,16,-,-,sieradzki
5,"
Niwiska Dolne",Z,39,-,-,pajęczański
6,Pajęczno,P,63 741,-,-,pajęczański
7,Przedbórz,R,3 120,-,-,radomszczański
8,Sulejów,Z,9 208,8 559,-,piotrkowski
9,Sulejów II,R,51 386,-,-,piotrkowski
10,Wapiennik Lisowice,Z,1 810,-,-,pajęczański
1,Czatkowice,E,148 601,37 582,1 658,krakowski
3,Gołcza-Przy Potoku,Z,957,957,-,miechowski
4,Kamienica,P,2 094,-,-,".
krakowski"
5,Młoszowa,R,1 269,-,-,chrzanowski
6,Płaza,E,11 665,7 840,131,chrzanowski
7,Płaza Południe,R,38 845,-,"
-",chrzanowski
8,Wzgórze Św. Piotra,P,11 151,-,-,m. Kraków
1,IłŜa,Z,4 954,9 503,-,radomski
2,IłŜa 1,E,4 928,1 927,"
35",radomski
3,Marylin I,R,1 270,-,-,szydłowiecki
1,GóraŜdŜe,E,166 595,166 595,2 677,krapkowicki
2,Izbicko II,E,107 339,"
38 333",221,strzelecki
3,Izbicko-Nakło,P,139 417,-,-,opolski
4,Strzelce Opolskie I,T,17 450,15 908,-,strzelecki
5,Strzelce Opolskie II,R,29 722,"
-",-,strzelecki
6,Szymiszów,R,72 621,-,-,strzelecki
7,Tarnów Opolski,E,56 041,"
22 001",1 346,"krapkowicki,
opolski"
8,"Tarnów Opolski-
Wschód",R,48 836,-,-,"krapkowicki,
strzelecki"
1,Łysaków,Z,16 619,-,-,stalowowolski
2,Niechobrz Górny,R,670,-,-,rzeszowski
3,Niechobrz II,R,1 367,-,-,rzeszowski
4,Nowiny Horynieckie,R,"
10 932",-,-,lubaczowski
5,Olimpów,Z,1 114,-,-,"ropczycko-
sędziszowski"
1,Brudzowice,R,36 811,-,-,będziński
2,"Calcium Brynica-
Czeladź",Z,1 254,-,-,będziński
3,"
Chełmno",Z,427,-,-,kłobucki
4,Choroń,P,137 878,-,-,myszkowski
5,Kielnik-Olsztyn,Z,320,-,-,częstochowski
6,Kule I,Z,5,-,-,kłobucki
7,Michałówek-Łazy,Z,132,-,-,zawierciański
8,Miedźno,P,69 459,-,-,kłobucki
9,"
Mokre Śląskie",Z,612,-,-,mikołowski
10,Mokre Śląskie - zarej.,Z,2 221,-,-,mikołowski
11,Mykanów,P,42 788,-,-,częstochowski
13,Radonia,R,213,-,-,gliwicki
14,Rudniki II,Z,-,-,-,".
częstochowski"
15,Rudniki-Rędziny,R,69 351,-,-,częstochowski
16,Rzeniszów,R,1 709,-,-,myszkowski
17,Sosnowiec-Środula I,Z,6 500,-,"
-",m. Sosnowiec
18,Sosnowiec-Środula II,Z,1 548,-,-,m. Sosnowiec
19,Strzemieszyce,Z,112,-,-,m. Dąbrowa Górn.
20,Wąsosz,Z,250,-,-,kłobucki
21,Zbrosławice,R,71,-,-,tarnogórski
22,uraw,P,138 196,-,"
-",częstochowski
1,Anna,P,18 544,-,-,opatowski
2,Anna 1,R,1 208,-,-,opatowski
3,Bukowa,E,275 430,"
148 906",1 640,włoszczowski
4,Chałupki,Z,-,-,-,kielecki
5,Chęciny-Wolica,E,140 224,89 392,137,kielecki
6,Drugnia Rządowa 1,E,342,"
342",8,kielecki
7,Drugnia-Rządowa,R,842,223,-,kielecki
8,Gliniany StróŜa 1,R,3 831,"
-",-,opatowski
9,Gliniany-StróŜa,R,296 118,-,-,opatowski
10,Gnieździska-G. Lipia,Z,1 086,-,-,kielecki
11,"Gnieździska-Góra
Poddańska",R,"
2 807",-,-,kielecki
12,Goździec,R,75 699,-,-,kielecki
13,Góra Maćkowa,E,3 221,830,222,"jędrzejowski,
kielecki"
14,Górki Sowie,R,4 305,-,-,kielecki
15,Janów,Z,"
31 336",-,-,kielecki
16,Kaczyn-Borków,P,193 391,-,-,kielecki
17,Krasocin,R,608 116,-,-,włoszczowski
18,Krasocin I,"
R",11 626,11 626,-,włoszczowski
19,Księska Góra,Z,636,-,-,kielecki
20,Lipa,P,249 167,-,-,jędrzejowski
21,Lipa 1,R,75 953,-,-,jędrzejowski
22,"
Lipnik",Z,2 122,-,-,ostrowiecki
23,Łagów,R,22 404,-,-,kielecki
24,"Małogoszcz-Góra
KrzyŜowa",Z,3 361,-,-,jędrzejowski
25,Miedzianka,Z,tylko pzb.,-,-,kielecki
26,Moczydło,R,15 136,-,-,kielecki
27,Obice (Dębska Wola),R,782,-,-,kielecki
28,"
Ostrówka i
Ołowianka",E,211 434,101 226,5 180,kielecki
29,OŜarów,Z,-,-,-,opatowski
31,Potok Rządowy,P,1 365,-,-,staszowski
32,Ruda Kościelna,R,87 935,-,-,".
ostrowiecki"
33,Siedlce,R,1 000,-,-,kielecki
34,Sobiekurów,P,74 390,-,-,opatowski
35,Sobków 84,Z,82 443,-,"
-",jędrzejowski
36,Sokołów Górny,R,54 455,-,-,jędrzejowski
37,Tokarnia-Sierpka,Z,4 236,-,-,kielecki
38,Trzuskawica,E,651 283,264 495,3 411,kielecki
39,Wierzbica,E,52 251,28 835,564,jędrzejowski
40,Wierzbie,E,1 300,1 132,"
75",kielecki
41,"Wymysłów
(Stawiany)",P,242 365,-,-,pińczowski
