Lp.,Nazwa,Stan,Zasoby wydobywalne bilansowe,Zasoby przemyslowe,Wydobycie,Powiat
1,Górzyca g),T,1,1,1,słubicki
1,Baranów Sand.-Skopanie,R,99 231,-,-,"staszowski,
tarnobrzeski"
2,Basznia,Z,102 528,-,-,lubaczowski
3,Grębów,R,58 368,-,-,tarnobrzeski
4,"
Jamnica",P,42 228,-,-,"stalowowolski,
tarnobrzeski"
5,Jeziórko-Grębów-Wydrza,Z,87 135,-,-,tarnobrzeski
6,Machów I (odkrywka),Z,13 965,-,-,m.Tarnobrzeg
1,Grzybów-Gacki,Z,1 337,-,-,"buski, staszowski"
2,Osiek,E,27 416,27 416,517,staszowski
3,Piaseczno,Z,tylko pzb.,-,-,"v
sandomierski"
4,Rudniki,P,49 950,-,-,staszowski
5,Solec,P,5 576,-,-,"buski, staszowski"
6,Świniary,R,80,-,-,sandomierski
7,Wola śyzna,R,1 257,-,-,"buski, staszowski"
1,BMB g),E,545,201,22,"myśliborski,
gorzowski"
2,Cychry g),E,39,3,0,myśliborski
3,Zielin g),E,9,"
2",2,gryfiński
